,Music,Slow songs or fast songs,Movies,History,Psychology,Politics,Mathematics,Science and technology,Reading,Foreign languages,Religion,Passive sport,Active sport,Fun with friends,Smoking,Alcohol,Writing notes,Thinking ahead,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Empathy,Compassion to animals,God,Number of friends,Lying,Achievements,Happiness in life,Interests or hobbies,Finances,Age,Number of siblings,Education,Village - town
40,4.0,3.0,5.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,never smoked,social drinker,1.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,3,only to avoid hurting someone,2.0,3.0,1.0,3.0,26.0,1.0,secondary school,city
41,5.0,4.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,1.0,5.0,5.0,tried smoking,social drinker,4.0,5.0,4.0,5.0,1.0,4.0,1.0,4.0,1.0,3.0,3,never,2.0,5.0,4.0,3.0,20.0,3.0,college/bachelor degree,city
42,5.0,5.0,5.0,2.0,5.0,1.0,5.0,4.0,3.0,5.0,2.0,3.0,1.0,5.0,never smoked,never,2.0,5.0,5.0,3.0,5.0,4.0,1.0,5.0,5.0,4.0,3,sometimes,2.0,4.0,4.0,5.0,19.0,0.0,secondary school,city
43,5.0,4.0,5.0,2.0,4.0,2.0,1.0,3.0,3.0,5.0,1.0,4.0,3.0,5.0,tried smoking,drink a lot,5.0,4.0,5.0,3.0,5.0,3.0,2.0,4.0,3.0,1.0,4,only to avoid hurting someone,4.0,4.0,4.0,3.0,20.0,1.0,college/bachelor degree,city
44,4.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,2.0,5.0,current smoker,social drinker,5.0,3.0,5.0,2.0,5.0,3.0,1.0,5.0,5.0,5.0,5,only to avoid hurting someone,3.0,4.0,4.0,4.0,25.0,1.0,masters degree,village
45,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,4.0,5.0,5.0,never smoked,social drinker,5.0,5.0,5.0,4.0,5.0,5.0,5.0,1.0,5.0,3.0,2,never,4.0,4.0,5.0,4.0,27.0,1.0,masters degree,
46,5.0,3.0,5.0,4.0,3.0,1.0,2.0,,5.0,5.0,4.0,3.0,5.0,5.0,current smoker,social drinker,3.0,3.0,5.0,3.0,5.0,,1.0,3.0,3.0,3.0,5,sometimes,3.0,4.0,5.0,3.0,21.0,1.0,college/bachelor degree,city
47,5.0,3.0,5.0,2.0,3.0,1.0,2.0,2.0,5.0,5.0,1.0,2.0,2.0,5.0,tried smoking,social drinker,5.0,3.0,4.0,2.0,5.0,3.0,2.0,4.0,2.0,2.0,4,sometimes,4.0,4.0,3.0,3.0,19.0,1.0,secondary school,city
48,5.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,5.0,2.0,3.0,4.0,3.0,current smoker,social drinker,4.0,3.0,5.0,3.0,2.0,3.0,4.0,4.0,4.0,1.0,2,only to avoid hurting someone,3.0,4.0,3.0,4.0,20.0,1.0,secondary school,village
49,5.0,4.0,5.0,2.0,2.0,2.0,1.0,3.0,5.0,4.0,1.0,2.0,1.0,5.0,tried smoking,social drinker,3.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,4,sometimes,3.0,3.0,3.0,4.0,20.0,1.0,primary school,city
50,4.0,3.0,5.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,tried smoking,social drinker,4.0,5.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,5.0,3,only to avoid hurting someone,3.0,4.0,4.0,4.0,19.0,2.0,college/bachelor degree,city
51,5.0,3.0,5.0,2.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,never smoked,never,4.0,4.0,5.0,2.0,5.0,4.0,1.0,5.0,5.0,5.0,3,sometimes,3.0,4.0,4.0,5.0,19.0,1.0,secondary school,city
52,5.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,current smoker,social drinker,1.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,4.0,5.0,5,sometimes,3.0,2.0,4.0,1.0,21.0,2.0,secondary school,village
53,5.0,3.0,5.0,3.0,3.0,4.0,1.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,tried smoking,social drinker,5.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,3.0,5.0,5,only to avoid hurting someone,2.0,4.0,5.0,3.0,18.0,4.0,secondary school,city
54,5.0,3.0,5.0,5.0,3.0,4.0,1.0,3.0,5.0,4.0,2.0,5.0,4.0,5.0,current smoker,social drinker,2.0,5.0,5.0,3.0,3.0,5.0,1.0,5.0,5.0,3.0,5,sometimes,4.0,3.0,5.0,3.0,21.0,2.0,college/bachelor degree,city
55,5.0,3.0,5.0,4.0,5.0,2.0,2.0,4.0,3.0,5.0,2.0,1.0,3.0,4.0,current smoker,drink a lot,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4,sometimes,4.0,4.0,3.0,5.0,23.0,1.0,college/bachelor degree,village
56,5.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,2.0,5.0,1.0,5.0,current smoker,drink a lot,3.0,4.0,5.0,5.0,5.0,3.0,2.0,5.0,5.0,1.0,5,sometimes,3.0,4.0,5.0,3.0,20.0,2.0,secondary school,city
57,5.0,3.0,5.0,5.0,5.0,2.0,1.0,3.0,5.0,3.0,4.0,5.0,3.0,5.0,current smoker,drink a lot,3.0,5.0,5.0,2.0,3.0,1.0,2.0,4.0,5.0,4.0,4,sometimes,2.0,3.0,1.0,5.0,21.0,1.0,secondary school,city
58,5.0,5.0,5.0,3.0,3.0,1.0,3.0,4.0,1.0,4.0,1.0,5.0,3.0,5.0,never smoked,social drinker,5.0,5.0,5.0,1.0,5.0,,4.0,4.0,5.0,1.0,3,everytime it suits me,1.0,4.0,3.0,5.0,19.0,1.0,secondary school,village
59,5.0,4.0,5.0,4.0,4.0,5.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,3.0,current smoker,drink a lot,4.0,4.0,4.0,5.0,3.0,4.0,5.0,1.0,1.0,4.0,2,everytime it suits me,3.0,3.0,5.0,1.0,22.0,1.0,college/bachelor degree,city
60,5.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,tried smoking,social drinker,2.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3,sometimes,1.0,4.0,5.0,5.0,23.0,1.0,college/bachelor degree,city
61,5.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,4.0,1.0,5.0,current smoker,social drinker,3.0,4.0,3.0,1.0,3.0,3.0,1.0,5.0,5.0,2.0,3,only to avoid hurting someone,4.0,3.0,3.0,2.0,23.0,1.0,secondary school,city
62,5.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,2.0,4.0,1.0,5.0,5.0,5.0,never smoked,social drinker,3.0,5.0,5.0,1.0,3.0,5.0,1.0,5.0,4.0,1.0,5,only to avoid hurting someone,2.0,3.0,5.0,3.0,23.0,2.0,secondary school,city
63,5.0,4.0,5.0,4.0,2.0,3.0,,4.0,2.0,3.0,3.0,5.0,5.0,5.0,tried smoking,social drinker,3.0,3.0,4.0,3.0,,3.0,2.0,2.0,3.0,3.0,5,sometimes,3.0,4.0,5.0,3.0,22.0,2.0,college/bachelor degree,city
64,5.0,3.0,5.0,1.0,2.0,2.0,1.0,4.0,2.0,5.0,1.0,2.0,1.0,5.0,former smoker,social drinker,1.0,5.0,3.0,4.0,4.0,5.0,2.0,5.0,5.0,4.0,3,only to avoid hurting someone,3.0,4.0,1.0,1.0,18.0,0.0,primary school,city
65,4.0,3.0,5.0,5.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,tried smoking,social drinker,2.0,3.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,5.0,3,everytime it suits me,3.0,3.0,3.0,1.0,17.0,1.0,primary school,city
66,4.0,3.0,4.0,3.0,2.0,2.0,5.0,4.0,1.0,2.0,1.0,5.0,5.0,4.0,tried smoking,social drinker,1.0,3.0,5.0,3.0,5.0,2.0,3.0,3.0,2.0,4.0,3,sometimes,3.0,4.0,2.0,3.0,20.0,1.0,secondary school,village
67,3.0,4.0,5.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,1.0,3.0,5.0,never smoked,never,2.0,4.0,5.0,2.0,5.0,3.0,2.0,5.0,3.0,4.0,4,only to avoid hurting someone,2.0,5.0,4.0,3.0,24.0,0.0,college/bachelor degree,village
68,5.0,5.0,5.0,2.0,2.0,3.0,5.0,4.0,2.0,4.0,5.0,5.0,1.0,5.0,tried smoking,drink a lot,4.0,2.0,4.0,4.0,5.0,5.0,2.0,1.0,4.0,5.0,2,sometimes,3.0,4.0,1.0,1.0,18.0,1.0,college/bachelor degree,village
69,5.0,4.0,5.0,2.0,2.0,2.0,1.0,,,3.0,1.0,1.0,1.0,5.0,tried smoking,social drinker,3.0,3.0,3.0,1.0,5.0,1.0,3.0,2.0,4.0,5.0,3,everytime it suits me,5.0,3.0,3.0,1.0,20.0,3.0,secondary school,city
70,5.0,3.0,5.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,5.0,5.0,former smoker,social drinker,2.0,2.0,5.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,4,never,3.0,5.0,4.0,3.0,17.0,1.0,secondary school,city
71,4.0,3.0,4.0,5.0,1.0,5.0,2.0,4.0,3.0,2.0,1.0,1.0,5.0,5.0,tried smoking,never,2.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,3,sometimes,3.0,4.0,4.0,4.0,20.0,1.0,secondary school,city
72,5.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,5.0,former smoker,social drinker,4.0,3.0,3.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,5,everytime it suits me,3.0,3.0,3.0,3.0,28.0,1.0,secondary school,city
73,5.0,3.0,5.0,4.0,3.0,4.0,1.0,5.0,2.0,5.0,5.0,3.0,5.0,5.0,former smoker,social drinker,2.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,4,everytime it suits me,4.0,5.0,3.0,3.0,21.0,1.0,secondary school,city
74,5.0,3.0,5.0,4.0,3.0,5.0,1.0,2.0,1.0,5.0,2.0,2.0,5.0,4.0,tried smoking,social drinker,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,2,sometimes,2.0,3.0,1.0,5.0,22.0,1.0,masters degree,city
75,5.0,3.0,4.0,5.0,5.0,4.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,tried smoking,drink a lot,4.0,5.0,5.0,1.0,5.0,2.0,1.0,4.0,3.0,5.0,5,sometimes,2.0,4.0,5.0,3.0,20.0,1.0,secondary school,village
76,4.0,4.0,4.0,2.0,2.0,5.0,1.0,5.0,2.0,3.0,2.0,3.0,5.0,5.0,tried smoking,social drinker,4.0,4.0,5.0,2.0,4.0,4.0,1.0,4.0,,5.0,4,sometimes,2.0,4.0,5.0,2.0,18.0,1.0,secondary school,city
77,5.0,3.0,5.0,4.0,2.0,1.0,1.0,3.0,5.0,5.0,1.0,3.0,5.0,5.0,tried smoking,social drinker,4.0,3.0,3.0,5.0,4.0,4.0,1.0,5.0,5.0,1.0,4,sometimes,4.0,4.0,5.0,1.0,21.0,1.0,secondary school,city
78,4.0,4.0,5.0,2.0,5.0,1.0,3.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,never smoked,never,5.0,5.0,5.0,1.0,4.0,2.0,1.0,5.0,5.0,1.0,3,never,2.0,5.0,5.0,4.0,24.0,1.0,college/bachelor degree,village
79,5.0,3.0,5.0,4.0,3.0,5.0,2.0,4.0,1.0,5.0,1.0,4.0,3.0,5.0,former smoker,social drinker,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,3,sometimes,3.0,4.0,3.0,4.0,21.0,2.0,secondary school,city
80,5.0,3.0,5.0,5.0,4.0,4.0,1.0,3.0,2.0,3.0,1.0,5.0,5.0,5.0,tried smoking,social drinker,1.0,2.0,3.0,2.0,4.0,3.0,2.0,5.0,5.0,3.0,4,sometimes,4.0,3.0,4.0,3.0,19.0,1.0,secondary school,city
81,5.0,4.0,5.0,3.0,2.0,1.0,1.0,5.0,2.0,4.0,2.0,4.0,5.0,5.0,tried smoking,social drinker,3.0,4.0,4.0,3.0,4.0,3.0,1.0,4.0,4.0,1.0,5,sometimes,4.0,4.0,5.0,3.0,22.0,1.0,secondary school,city
82,5.0,5.0,5.0,4.0,5.0,1.0,1.0,2.0,5.0,4.0,4.0,5.0,1.0,4.0,never smoked,social drinker,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,5.0,5.0,1,sometimes,3.0,3.0,3.0,3.0,18.0,1.0,secondary school,city
83,5.0,3.0,5.0,,2.0,1.0,1.0,3.0,2.0,4.0,1.0,,1.0,5.0,former smoker,social drinker,5.0,3.0,4.0,1.0,3.0,5.0,2.0,5.0,5.0,4.0,4,sometimes,3.0,3.0,3.0,3.0,22.0,2.0,secondary school,city
84,5.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,5.0,5.0,3.0,5.0,1.0,5.0,former smoker,drink a lot,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5,everytime it suits me,3.0,5.0,5.0,1.0,19.0,0.0,secondary school,city
85,5.0,2.0,5.0,4.0,3.0,1.0,5.0,5.0,2.0,3.0,1.0,4.0,4.0,4.0,tried smoking,social drinker,2.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4,sometimes,3.0,3.0,4.0,2.0,22.0,2.0,college/bachelor degree,city
86,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,current smoker,social drinker,4.0,5.0,4.0,1.0,5.0,4.0,4.0,4.0,3.0,5.0,3,sometimes,3.0,4.0,3.0,2.0,24.0,3.0,masters degree,city
87,5.0,4.0,5.0,5.0,4.0,5.0,,3.0,3.0,5.0,2.0,2.0,5.0,5.0,former smoker,social drinker,3.0,3.0,4.0,1.0,4.0,3.0,1.0,5.0,3.0,5.0,3,sometimes,3.0,4.0,3.0,2.0,18.0,3.0,college/bachelor degree,village
88,5.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0,5.0,5.0,5.0,1.0,1.0,5.0,former smoker,drink a lot,5.0,5.0,3.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,3,never,1.0,2.0,1.0,1.0,21.0,0.0,secondary school,city
89,5.0,3.0,5.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,3.0,2.0,2.0,4.0,tried smoking,social drinker,2.0,4.0,4.0,2.0,5.0,4.0,3.0,5.0,5.0,5.0,3,only to avoid hurting someone,3.0,3.0,3.0,4.0,22.0,2.0,masters degree,village
90,4.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,5.0,1.0,5.0,tried smoking,social drinker,1.0,1.0,5.0,2.0,3.0,3.0,2.0,5.0,2.0,5.0,3,sometimes,3.0,4.0,3.0,1.0,19.0,3.0,secondary school,village
